Nome,Preço,Foto,Descrição,Código,Categoria
500 unid - panfleto couchê 90g,97.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/A331BFBF-9758-49BE-9535-1506A78CF2C2.jpg?20231221105424470,"Filipetas são cada vez mais comuns em divulgação de eventos e ações de marketing, um material de qualidade, com custo baixo que proporciona ótima divulgação em massa.",PATSE29CC,delivery 
500 unid - panfleto couchê 90g,107.98,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/20DB0AD0-0B1F-4140-9582-7BD8B94D6ACD.jpg?20231221105426380,"Filipetas são cada vez mais comuns em divulgação de eventos e ações de marketing, um material de qualidade, com custo baixo que proporciona ótima divulgação em massa.",PATSE32CC,delivery 
500 unid - panfleto couchê 90g,133.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/E9721EA4-9201-44FD-BEDC-7BB708AF9712.jpg?20231221105428363,"Filipetas são cada vez mais comuns em divulgação de eventos e ações de marketing, um material de qualidade, com custo baixo que proporciona ótima divulgação em massa.",PATSE33CC,delivery 
1000 unid - panfleto couchê 90g,139.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/B875F0C8-65C9-4325-AC09-EA362E83C58E.jpg?20231221105424833,"Filipetas são cada vez mais comuns em divulgação de eventos e ações de marketing, um material de qualidade, com custo baixo que proporciona ótima divulgação em massa.",PATSE29C1,delivery 
1000 unid - panfleto couchê 90g,144.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/0D2D51CB-0E7B-41B8-BF8F-127BF3B1910C.jpg?20231221105426783,"Filipetas são cada vez mais comuns em divulgação de eventos e ações de marketing, um material de qualidade, com custo baixo que proporciona ótima divulgação em massa.",PATSE32C1,delivery 
1000 unid - panfleto couchê 90g,157.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/5DFC1A9A-5EA8-4AD9-9F08-32C8ADC73FAB.jpg?20231221105428747,"Filipetas são cada vez mais comuns em divulgação de eventos e ações de marketing, um material de qualidade, com custo baixo que proporciona ótima divulgação em massa.",PATSE33C1,delivery 
2500 unid - panfleto couchê 90g,232.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/3A3D989C-881D-4C73-B26A-C379DF041DCF.jpg?20231221105425270,"Filipetas são cada vez mais comuns em divulgação de eventos e ações de marketing, um material de qualidade, com custo baixo que proporciona ótima divulgação em massa.",PATSE01C,delivery 
2500 unid - panfleto couchê 90g,242.98,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/53499A87-FF7C-40EE-BE89-DC7D24001B0E.jpg?20231221105427203,"Filipetas são cada vez mais comuns em divulgação de eventos e ações de marketing, um material de qualidade, com custo baixo que proporciona ótima divulgação em massa.",PATSE02C,delivery 
2500 unid - panfleto couchê 90g,255.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/B0382FA6-AFB7-4CE1-BDD2-6E9AF40B07D0.jpg?20231221105429137,"Filipetas são cada vez mais comuns em divulgação de eventos e ações de marketing, um material de qualidade, com custo baixo que proporciona ótima divulgação em massa.",PATSE03C,delivery 
5000 unid - panfleto couchê 90g,366.35,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/BB66275A-5198-4F0C-833D-AB41AE0671BF.jpg?20231221105425630,"Filipetas são cada vez mais comuns em divulgação de eventos e ações de marketing, um material de qualidade, com custo baixo que proporciona ótima divulgação em massa.",PATSE06C,delivery 
